"";"Estimate";"Std. Error";"t value";"Pr(>|t|)"
"(Intercept)";-8,43168641784839;1,62522485598952;-5,18801222290855;9,79481039169245e-06
"SPAD";0,510977922053839;0,0624278708914165;8,18509288812052;1,50727744626395e-09
