"";"Df";"Sum Sq";"Mean Sq";"F value";"Pr(>F)"
"ET";1;5,5708885597235;5,5708885597235;26,502273046136;0,000432678697477158
"Residuals";10;2,1020417946889;0,21020417946889;NA;NA
